input,output
<rAjan-anwaram>Tm,anyoH rAjA
<mayUra-vyaMsakaH>Tm,mayUravyaMsakaH
<CAwra-vyaMsakaH>Tm,CAwravyaMsakaH
<kamboja-muNdaH>Tm,kambojamuNdaH
<yavana-muNdaH>Tm,yavanamuNdaH
<haswe-gqhyaH>Tm,haswegqhyaH
<pAxe-gqhyaH>Tm,pAxegqhyaH
<lAfgUle-gqhyaH>Tm,lAfgUlegqhyaH
<punar-kRayaH>Tm,punarkRayaH  
<ehi-IdaH>Tm,ehIdaH  
<ehi-yavam>Tm,ehiyavam 
<ehi-vANijA-kriyA>Tm,ehivANijAkriyA
<apa-ehi-vANijA>Tm,apehivANijA
<pra-ehi-vANijA>Tm,prehivANijA
<ehi-svAgawA>Tm,ehisvAgawA
<apa-ehi-svAgawA>Tm,apohisvAgawA
<ehi-xviwIyA>Tm,ehixviwIyA
<ehi-katA>Tm,ehikatA
<apa-ehi-katA>Tm,apehikatA
<apoha-takA>Tm,apohatakA
<pra-ehi-katAA>Tm,prehikatA
<proha-katA>Tm,prohakatA
<Ahara-karatA>Tm,AharakaratA
<prehi-karxamA>Tm,prehikarxamA
<prohar-xamA>Tm,proharxamA
<viXama-cUdA>Tm,viXamacUdA
<uxXama-cUdA>Tm,uxXamacUdA
<uxXara-cUdA>Tm,uxXaracUdA
<Ahara-velA>Tm,AharavelA
<Ahara-vasanA>Tm,AharavasanA
<Ahara-senA>Tm,AharasenA
<Ahara-vaniwA>Tm,AharavaniwA
<Ahara-viwanA>Tm,AharaviwanA
<kqnwa-vicakRaNA>Tm,kqnwavicakRaNA
<uxXara-uwsqjAA>Tm,uxXarowsqjA
<uxXara-avasqjA>Tm,uxXarAvasqjA
<uxXama-viXamA>Tm,uxXamaviXamA
<uwpaca-vipacA>Tm,uwpacavipacA
<vipacA - vipacA>Tm, #########################################################
<uwpawa-nipawA>Tm,uwpawanipawA
<ucca-avacam>Tm,uccAvacam
<ucca-anIcam>Tm,uccAnIcam
<Aca-upacam>Tm,Acopacam
<Aca-parAcam>Tm,AcaparAcam
<naKa-pracam>Tm,naKapracam 
<niSca-pracam>Tm,niScapracam
<akiFcanaH>Tm,akiFcanaH
<snAwva-akAlakaHH>Tm,snAwvAkAlakaH
<pIwva-asWirakaHkaH>Tm,pIwvAsWirakaH
<Bukwva-asuhiwaH>Tm,BukwvAsuhiwaH
<proRya-pApIyAn>Tm,proRyapApIyAn
<uwpawya-pAkalA>Tm,uwpawyapAkalA
<vyAkulA>Tm,vyAkulA
<nipawya-rohiNI>Tm,nipawyarohiNI
<niRaNNa-SyAmA>Tm,niRaNNaSyAmA
<apehi-prayasA>Tm,apehiprayasA
<ehi-vipasA>Tm,ehivipasA
<iha-paFcamI>Tm,ihapaFcamI
<iha-xviwIyA>Tm,ihaxviwIyA
<jahi-jodaH>Tm,jahijodaH
<jahi-jodam>Tm,jahijodam
<jahi-swambam>Tm,jahiswambam
<jahi-swambaH>Tm,jahiswambaH
<ujjahi-swabam>Tm,ujjahiswabam
<aSnIwa-pibawA>Tm,aSnIwapibawA
<pacawa-BqjjawA>Tm,pacawaBqjjawA
<KAxawa-moxawA>Tm,KAxawamoxawA
<KAxawa-vamawA>Tm,KAxawavamawA
<KAxawa-acamawA>Tm,KAxawAcamawA
<Ahara-nivapA>Tm,AharanivapA
<Ahara-niRkirA>Tm,AharaniRkirA
<Avapa-niRkirA>Tm,AvapaniRkirA  
<uwpaca-vipaca>Tm,uwpacavipaca 
<BinXi-lavaNA>Tm,BinXilavaNA
<kqnXi-vicakRaNA>Tm,kqnXivicakRaNA
<paca-lavaNA>Tm,pacalavaNA
<paca-prakUtA>Tm,pacaprakUtA  
<akuwo-uBayaH>Tm,akuwoZBayaH  
<kAnxirRNakaH>Tm,kAnxirRNakaH  
<kanxi-SIkaH>Tm,kanxiSIkaH 
<Aho-puruRikA>Tm,AhopuruRikA
<aham-ahamikA>Tm,ahamahamikA
<yaxqcCA>Tm,yaxqcCA
<ehir-eyAhirA>Tm,ehireyAhirA
<unmqja-avamqjA>Tm,unmqjAvamqjA
<xravya-anwaram>Tm,xravyAnwaram
<avaSya-kAryam>Tm,avaSyakAryam